pending_more_than_125,date
278563,2024-06-01
278929,2024-06-08
272684,2024-06-15
273307,2024-06-22
268390,2024-06-29
274151,2024-07-06
271345,2024-07-13
267674,2024-07-20
262453,2024-07-27
257727,2024-08-03
253545,2024-08-10
249587,2024-08-17
244257,2024-08-24
241544,2024-08-31
246461,2024-09-07
240618,2024-09-14
237565,2024-09-21
235962,2024-09-28
234033,2024-10-05
234631,2024-10-12
237617,2024-10-19
233760,2024-10-26
235624,2024-11-02
231192,2024-11-09
237034,2024-11-16
235736,2024-11-23
241601,2024-11-30
243576,2024-12-07
244282,2024-12-14
244604,2024-12-21
256486,2024-12-28
260354,2025-01-04
256607,2025-01-11
252406,2025-01-18
257253,2025-01-25
254773,2025-02-01
254679,2025-02-08
251089,2025-02-15
252188,2025-02-22
249159,2025-03-01
247580,2025-03-08
245268,2025-03-15
244637,2025-03-22
244067,2025-03-29
232207,2025-04-05
228329,2025-04-12
224278,2025-04-19
220686,2025-04-26
209018,2025-05-03
201730,2025-05-10
195796,2025-05-17
195324,2025-05-24
195752,2025-05-31
193521,2025-06-07
189691,2025-06-14
190609,2025-06-21
184069,2025-06-28
184186,2025-07-05
178355,2025-07-12
173166,2025-07-19
167265,2025-07-26
163630,2025-08-02
158782,2025-08-09
154873,2025-08-16
149647,2025-08-23
145842,2025-08-30
145095,2025-09-06
141890,2025-09-13
137756,2025-09-20
134048,2025-09-27
129975,2025-10-04
126659,2025-10-11
124886,2025-10-18
120237,2025-10-25
116772,2025-11-01
112785,2025-11-08
112353,2025-11-15
109378,2025-11-22
111148,2025-11-29
109574,2025-12-06
105650,2025-12-13
100125,2025-12-20
105716,2025-12-27
105830,2026-01-03
103198,2026-01-10
101281,2026-01-17
100755,2026-01-24
99683,2026-01-31
98813,2026-02-07
97032,2026-02-14
96478,2026-02-21
94611,2026-02-28
92871,2026-03-07
90712,2026-03-14
88254,2026-03-21
86159,2026-03-28
81775,2026-04-04
81530,2026-04-11
